name,geoid,state_name,county_name,land_area (sqmtrs),population,population_density_sq_mi,median_household_income,hhs_total,hhi_lt_25k,hhi_25k_to_49k,hhi_50k_to_749k,hhi_75k_to_999k,hhi_100k_to_1490k,hhi_150k_to_1999k,hhi_200k_or_more,race_and_ethnicity_total,race_and_ethnicity_white,race_and_ethnicity_black,race_and_ethnicity_native,race_and_ethnicity_asian,race_and_ethnicity_islander,race_and_ethnicity_other,race_and_ethnicity_two,race_and_ethnicity_hispanic,age_total,age_female_0_to_9,age_female_10_to_19,age_female_20_to_29,age_female_30_to_39,age_female_40_to_49,age_female_50_to_59,age_female_60_to_69,age_female_70_plus,age_male_0_to_9,age_male_10_to_19,age_male_20_to_29,age_male_30_to_39,age_male_40_to_49,age_male_50_to_59,age_male_60_to_69,age_male_70_plus,median_age,educational_attainment_population_25_years_and_over,educational_attainment_no_diploma,educational_attainment_high_school,educational_attainment_some_college,educational_attainment_bachelors,DUMMYBachelors,educational_attainment_graduate,family_households_total,family_poverty_pct,employment_status_civilian_labor_force,unemployment_pct,housing_units,median_value_of_owner_occupied_units,households,
Vandenberg Village CDP,16000US0682086,California,Santa Barbara,13588474,8114,1546.5,91618,2797,243,410,581,399,476,288,400,8114,5044,328,37,259,19,79,531,1817,8114,399,517,538,405,548,488,530,570,525,506,650,359,508,639,412,520,41.3,5590,0.057,0.242,0.342,0.199,0,0.16,2246,0.022,4017,0.052,2854,391000,2797,
Verdi CDP,16000US0682334,California,Sierra,10808119,188,45.1,109342,102,13,9,15,0,65,0,0,188,188,0,0,0,0,0,0,0,188,0,0,11,9,0,42,13,16,14,9,0,8,0,19,28,19,56.3,154,0,0.11,0.721,0.071,0,0.097,65,0,102,0,125,434600,102,
Vernon city,16000US0682422,California,Los Angeles,12880348,130,26.1,67917,43,2,16,11,5,8,0,1,130,8,18,0,3,0,0,0,101,130,15,10,14,16,4,8,9,1,19,8,4,11,3,1,4,3,26.5,68,0.118,0.221,0.529,0.132,0,0,30,0,58,0,45,-1,43,
Victor CDP,16000US0682562,California,San Joaquin,3270556,215,170.3,-1,111,72,30,0,9,0,0,0,215,158,0,0,0,0,0,0,57,215,21,0,9,0,40,0,9,14,0,41,32,9,10,10,11,9,33.5,153,0.359,0.137,0.503,0,0,0,69,0,112,0,166,-1,111,
Victorville city,16000US0682590,California,San Bernardino,190672229,121902,1655.9,53957,32699,6930,8244,5977,4525,4120,2088,815,121902,27307,19464,200,4365,170,101,4108,66187,121902,10785,9540,8913,8115,7474,7579,4506,4742,10982,10082,9426,9247,6554,6880,3909,3168,31,72613,0.223,0.299,0.349,0.084,0,0.046,25441,0.165,48626,0.129,35104,221200,32699,
View Park-Windsor Hills CDP,16000US0682667,California,Los Angeles,4768649,11756,6385,92625,4834,777,434,825,562,853,564,819,11756,737,9166,82,276,18,52,480,945,11756,372,428,617,700,916,1119,1082,1103,541,521,615,684,514,806,850,888,49.8,9275,0.043,0.122,0.31,0.297,1,0.227,2680,0.094,6291,0.113,5137,760000,4834,
Villa Park city,16000US0682744,California,Orange,5383607,5861,2819.7,165000,1988,132,175,147,188,230,279,837,5861,3951,27,0,1021,0,25,118,719,5861,204,353,206,175,349,650,384,694,239,391,157,200,376,512,326,645,52.2,4467,0.066,0.115,0.272,0.309,1,0.238,1682,0.04,2571,0.025,2097,1184100,1988,
Vina CDP,16000US0682786,California,Tehama,3501361,230,170.1,61125,69,0,21,30,8,0,0,10,230,170,0,0,0,0,0,0,60,230,21,0,0,11,0,0,0,19,0,9,0,93,39,0,0,38,39,200,0.115,0.16,0.185,0.1,0,0.44,29,0,155,0,69,365000,69,
Vincent CDP,16000US0682815,California,Los Angeles,3813315,16225,11020,86011,4042,334,619,702,853,1087,310,137,16225,1855,209,0,1602,46,97,297,12119,16225,1038,1182,1126,1032,1111,1200,943,686,944,1265,1063,1033,1197,974,750,681,37.5,10701,0.249,0.309,0.304,0.092,0,0.046,3478,0.03,8417,0.059,4191,436300,4042,
Vine Hill CDP,16000US0682842,California,Contra Costa,3896737,3886,2582.9,106855,1314,164,139,183,138,317,189,184,3886,1904,25,0,388,101,10,199,1259,3886,261,237,243,381,164,232,220,151,365,297,151,435,257,212,170,110,34.9,2516,0.127,0.274,0.324,0.179,0,0.096,956,0.032,1963,0.04,1414,483300,1314,
Vineyard CDP,16000US0682852,California,Sacramento,44555790,28386,1650.1,94939,8429,771,1161,1264,1250,2237,962,784,28386,9208,2495,85,9141,239,33,1889,5296,28386,2029,2118,1855,1985,1983,2274,1223,1118,1678,2358,1951,1826,1750,2039,1272,927,35.5,18334,0.111,0.214,0.377,0.21,0,0.088,6842,0.058,13985,0.047,8654,384100,8429,
Visalia city,16000US0682954,California,Tulare,98223962,132104,3483.3,62263,43250,8091,9044,8249,5986,6412,3070,2398,132104,50737,2422,540,6766,84,148,2426,68981,132104,11476,10116,9401,9349,7934,7513,6477,5987,11264,9715,9384,9826,7162,6887,5754,3859,32,80775,0.172,0.213,0.384,0.15,0,0.082,31669,0.13,59336,0.049,45504,236400,43250,
Vista Santa Rosa CDP,16000US0683085,California,Riverside,41629806,2739,170.4,39805,805,204,273,101,123,78,24,2,2739,289,0,44,0,0,0,8,2398,2739,188,272,85,161,108,212,238,88,92,172,269,161,167,260,140,126,37.7,1846,0.394,0.391,0.145,0.037,0,0.033,578,0.152,1164,0.175,990,220600,805,
Vista city,16000US0682996,California,San Diego,48555949,100686,5370.6,72125,30168,3595,5659,6237,4579,5590,2743,1765,100686,39827,2948,334,3914,407,129,1835,51292,100686,6980,6706,7902,7262,6414,5992,3946,3875,8003,7072,9354,7505,6164,6845,3785,2881,32.9,63921,0.21,0.24,0.31,0.162,0,0.077,22079,0.082,53097,0.044,31378,480900,30168,
Volcano CDP,16000US0683094,California,Amador,3886869,40,26.7,-1,31,0,19,0,12,0,0,0,40,28,0,0,12,0,0,0,0,40,0,0,0,0,0,0,9,0,0,0,0,0,0,0,31,0,63.6,40,0,0,1,0,0,0,12,0,28,0,73,-1,31,
Volta CDP,16000US0683108,California,Merced,11318388,128,29.3,41186,69,0,55,14,0,0,0,0,128,26,14,0,0,0,0,0,88,128,0,0,0,0,0,0,15,0,0,0,43,0,39,21,0,10,40.5,85,0.459,0.471,0.071,0,0,0,55,0,103,0,69,-1,69,
Walker CDP,16000US0683262,California,Mono,47756977,858,46.5,62634,309,45,76,84,22,15,48,19,858,631,0,89,1,0,0,67,70,858,78,34,18,66,7,78,126,145,15,0,22,66,21,47,26,109,59.7,692,0.208,0.329,0.334,0.074,0,0.055,214,0.033,354,0.494,415,235400,309,
Wallace CDP,16000US0683304,California,Calaveras,11239488,944,217.5,103199,299,0,0,49,38,138,57,17,944,688,0,0,44,0,0,0,212,944,0,0,67,0,137,70,57,177,23,46,69,36,0,92,49,121,55.6,739,0.183,0.064,0.456,0.101,0,0.196,219,0,435,0.083,299,391700,299,
Walnut Creek city,16000US0683346,California,Contra Costa,51169190,69567,3521.2,105948,31390,3288,4015,3895,3604,5797,3568,7223,69567,47532,1280,61,10580,333,111,3326,6344,69567,3318,2867,3777,4554,4018,4218,4922,9683,3447,3019,3316,4441,3701,4038,3959,6289,47.8,54442,0.023,0.085,0.225,0.364,1,0.302,18093,0.036,33688,0.037,33157,793100,31390,
Walnut Grove CDP,16000US0683374,California,Sacramento,26419421,1364,133.7,57600,492,51,183,89,45,63,20,41,1364,602,12,0,45,0,17,5,683,1364,92,75,131,98,60,159,55,75,44,69,84,70,84,74,119,75,40.6,1008,0.2,0.301,0.272,0.183,0,0.045,386,0.018,747,0.095,667,474200,492,
Walnut Park CDP,16000US0683402,California,Los Angeles,1936671,15896,21258.4,52226,3775,747,1039,720,543,463,135,128,15896,185,6,16,135,0,29,24,15501,15896,1075,1043,1143,1190,1078,875,829,712,828,1145,1264,1170,1280,1100,605,559,35.7,10712,0.518,0.197,0.197,0.068,0,0.02,3225,0.15,8132,0.066,3833,410300,3775,
Walnut city,16000US0683332,California,Los Angeles,23288387,29903,3325.6,108669,9069,896,1157,1148,1083,1928,1278,1579,29903,3107,1263,14,18703,106,19,643,6048,29903,1308,1531,1898,1446,2030,2459,2514,2088,1372,1641,2277,1411,1748,2052,2393,1735,45.9,22218,0.078,0.148,0.248,0.379,1,0.147,7887,0.051,14809,0.044,9542,774400,9069,
Warm Springs CDP,16000US0683460,California,Riverside,3621091,1874,1340.4,50931,515,165,75,178,41,46,0,10,1874,607,0,0,17,0,0,137,1113,1874,123,45,144,100,158,93,50,26,145,185,215,163,163,101,80,83,33.8,1255,0.319,0.435,0.222,0.024,0,0,395,0.197,691,0.088,548,240200,515,
Warner Valley CDP,16000US0683494,California,Plumas,45059297,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,92,-1,0,
Wasco city,16000US0683542,California,Kern,24315483,27193,2896.5,39250,5960,1576,2021,1371,557,284,99,52,27193,2564,1613,87,145,30,6,391,22357,27193,2288,1751,1943,1388,1228,1098,902,532,1845,1810,4107,3309,1887,1667,921,517,29.7,16515,0.428,0.325,0.212,0.026,0,0.009,5096,0.21,9098,0.103,6469,168500,5960,
Washington CDP,16000US0683570,California,Nevada,4922969,56,29.5,60714,32,5,7,20,0,0,0,0,56,56,0,0,0,0,0,0,0,56,0,0,0,0,0,0,0,16,0,0,0,0,0,7,13,20,70.5,56,0,0.214,0.5,0.286,1,0,14,0,6,0,94,138400,32,
Waterford city,16000US0683612,California,Stanislaus,6108059,8877,3764.1,58904,2485,409,551,527,330,456,166,46,8877,3832,75,0,182,12,0,223,4553,8877,809,723,350,739,413,626,392,319,644,914,589,635,393,512,565,254,33.9,5287,0.339,0.334,0.262,0.044,0,0.021,2103,0.161,3710,0.081,2706,247200,2485,
Waterloo CDP,16000US0683626,California,San Joaquin,14076382,670,123.3,85000,222,44,50,0,29,33,0,66,670,414,0,0,13,0,0,0,243,670,0,73,23,48,20,26,93,95,0,74,20,46,0,30,52,70,53.6,502,0.175,0.281,0.235,0.151,0,0.157,188,0.064,270,0.067,222,683800,222,
Watsonville city,16000US0683668,California,Santa Cruz,17320785,53800,8044.7,55470,14717,3105,3531,2796,1859,2170,647,609,53800,8185,270,0,1364,0,24,288,43669,53800,4368,4135,3817,3448,3584,2543,2340,2171,5169,4323,4473,3854,3146,2713,1982,1734,30.6,31362,0.392,0.249,0.237,0.082,0,0.04,11270,0.134,26153,0.075,15196,464200,14717,
Waukena CDP,16000US0683724,California,Tulare,2440676,149,158.1,64375,49,4,16,11,6,10,0,2,149,67,0,0,0,0,0,0,82,149,42,0,8,22,2,2,3,2,0,20,5,15,18,3,5,2,27.9,82,0.037,0.512,0.378,0.037,0,0.037,36,0.111,41,0.146,49,261400,49,
Wawona CDP,16000US0683766,California,Mariposa,16433682,189,29.8,-1,95,29,19,13,28,6,0,0,189,84,0,0,0,0,0,24,81,189,4,26,13,6,18,0,8,0,19,0,57,18,0,6,7,7,26.6,112,0,0,0.893,0.107,0,0,52,0,120,0,346,-1,95,
Weaverville CDP,16000US0683794,California,Trinity,26998539,3158,302.9,46212,1489,482,410,345,25,172,55,0,3158,2852,11,182,1,2,0,0,110,3158,164,138,31,363,128,240,173,222,252,257,72,137,229,240,274,238,45.4,2346,0.126,0.188,0.473,0.141,0,0.072,833,0.16,1414,0.133,1750,268300,1489,
Weed city,16000US0683850,California,Siskiyou,12384186,2669,558.2,27227,1129,536,274,150,43,72,42,12,2669,1594,382,68,38,0,0,72,515,2669,131,241,95,96,153,176,185,169,182,241,225,127,168,161,151,168,39.8,1657,0.145,0.3,0.439,0.099,0,0.017,611,0.221,1068,0.105,1301,138500,1129,
Weedpatch CDP,16000US0683863,California,Kern,9212054,2291,644.1,24894,621,313,185,46,43,24,0,10,2291,145,0,0,0,0,0,0,2146,2291,239,189,175,160,126,91,131,39,251,205,125,112,145,149,83,71,28.7,1284,0.648,0.269,0.079,0,0,0.005,534,0.474,910,0.127,662,113000,621,
Weldon CDP,16000US0683948,California,Kern,69057856,2321,87,35574,1050,445,202,202,110,91,0,0,2321,2040,54,76,0,0,0,119,32,2321,32,77,139,88,200,131,117,169,137,93,194,90,138,252,280,184,49.5,1776,0.201,0.345,0.329,0.076,0,0.048,658,0.497,992,0.046,1395,83800,1050,
Weott CDP,16000US0684004,California,Humboldt,1946274,304,404.5,32344,128,34,70,12,12,0,0,0,304,304,0,0,0,0,0,0,0,304,0,53,38,0,12,62,0,12,0,13,36,0,12,66,0,0,49.5,164,0,0.463,0.195,0.268,1,0.073,78,0,194,0.175,214,295800,128,
West Athens CDP,16000US0684116,California,Los Angeles,3461387,9706,7262.5,60299,2973,574,733,526,498,303,134,205,9706,45,4986,0,83,18,79,21,4474,9706,726,742,732,774,689,715,437,610,677,422,676,546,490,693,347,430,36.7,6553,0.21,0.288,0.364,0.083,0,0.055,2134,0.077,5109,0.092,3041,446500,2973,
West Bishop CDP,16000US0684120,California,Inyo,22684470,2734,312.2,95286,1040,71,239,132,131,256,102,109,2734,2377,0,56,11,0,0,0,290,2734,156,170,45,85,173,147,310,216,107,293,65,106,193,177,235,256,48.6,1920,0.072,0.18,0.393,0.196,0,0.159,796,0.044,1232,0.015,1172,433800,1040,
West Carson CDP,16000US0684144,California,Los Angeles,5868540,22079,9744.2,73472,7483,1042,1355,1405,897,1392,813,579,22079,3593,2219,11,7815,68,239,560,7574,22079,1082,800,1100,1427,1343,1560,1683,2125,1090,886,1522,1758,1169,1505,1491,1538,44.9,17187,0.167,0.218,0.262,0.275,1,0.078,5121,0.063,11437,0.045,8009,473900,7483,
West Covina city,16000US0684200,California,Los Angeles,41546639,106589,6644.7,82938,30430,4003,5158,4450,4601,6607,3044,2567,106589,12292,4239,151,30531,418,336,2161,56461,106589,6144,6194,7887,7516,6834,7667,6460,6341,6239,6388,7829,7364,7041,6650,5425,4610,38.2,73993,0.143,0.269,0.297,0.213,0,0.077,24020,0.053,55749,0.056,31581,540500,30430,
West Goshen CDP,16000US0684345,California,Tulare,3049904,427,362.6,28480,109,40,50,7,0,0,5,7,427,114,0,0,0,0,0,0,313,427,25,61,20,57,0,26,0,0,8,95,33,38,37,20,7,0,28.3,238,0.286,0.391,0.294,0.029,0,0,102,0.49,118,0.169,109,-1,109,
West Hollywood city,16000US0684410,California,Los Angeles,4888626,36450,19311.2,74044,23369,4766,3650,3366,2768,4133,1532,3154,36450,27480,1304,47,2044,99,98,1632,3746,36450,620,235,4358,3883,2025,1463,1400,2116,587,190,3726,5605,3484,2849,2281,1628,38.7,33160,0.024,0.116,0.237,0.434,1,0.188,5021,0.016,27464,0.053,25537,755400,23369,
West Menlo Park CDP,16000US0684536,California,San Mateo,1260852,4160,8545.3,214167,1380,90,46,85,75,161,209,714,4160,3094,60,0,641,0,0,193,172,4160,393,432,86,270,443,258,158,245,262,328,96,218,366,288,161,156,39.8,2618,0.017,0.038,0.113,0.28,1,0.552,1053,0.009,2113,0.057,1416,2000001,1380,
West Modesto CDP,16000US0684578,California,Stanislaus,3692939,5762,4041.1,37731,1559,463,548,298,140,39,64,7,5762,1506,109,0,195,0,0,47,3905,5762,630,378,408,433,386,319,167,229,525,443,374,528,208,450,109,175,31,3297,0.404,0.356,0.187,0.034,0,0.019,1176,0.246,2318,0.209,1652,149700,1559,
West Park CDP,16000US0684680,California,Fresno,4640397,1071,597.8,58929,258,67,42,42,33,33,32,9,1071,36,13,14,92,0,0,0,916,1071,123,55,124,54,33,62,55,35,55,41,136,59,36,106,73,24,30.1,684,0.404,0.281,0.243,0.057,0,0.016,204,0.216,532,0.216,282,155600,258,
West Point CDP,16000US0684732,California,Calaveras,9632239,454,122.1,34722,188,86,21,35,38,8,0,0,454,389,0,29,0,0,0,19,17,454,23,11,0,33,61,0,61,32,41,18,0,28,20,30,33,63,48.6,361,0.08,0.363,0.476,0.039,0,0.042,71,0,116,0,331,195000,188,
West Puente Valley CDP,16000US0684774,California,Los Angeles,4841011,23382,12509.6,75856,5057,638,992,880,766,1112,463,206,23382,722,333,0,3017,17,71,51,19171,23382,1253,1593,2059,1296,1609,1443,1185,1474,1262,1315,2073,1584,1553,1595,1177,911,37.3,15987,0.322,0.304,0.243,0.1,0,0.031,4446,0.085,11643,0.075,5128,441600,5057,
West Rancho Dominguez CDP,16000US0684780,California,Los Angeles,10291564,22901,5763.3,60155,6339,1479,1180,1251,876,922,386,245,22901,381,9779,13,198,16,46,580,11888,22901,1443,1626,1730,1607,1387,1718,1023,1375,1648,1508,1492,1437,1493,1399,1116,899,36.3,15157,0.321,0.244,0.316,0.079,0,0.04,4844,0.147,10912,0.074,6581,367400,6339,
West Sacramento city,16000US0684816,California,Yolo,55606619,53151,2475.6,70699,18577,3872,2833,3292,2596,3041,1522,1421,53151,24407,2435,155,5568,555,66,3951,16014,53151,3867,3500,3556,4282,3726,3035,2854,2241,3921,4175,3991,4438,2697,3078,1988,1802,34.3,34084,0.164,0.216,0.326,0.196,0,0.099,12643,0.118,26445,0.073,19478,349800,18577,
West Whittier-Los Nietos CDP,16000US0684921,California,Los Angeles,6524505,26654,10580.7,76397,7167,874,1395,1229,1215,1420,606,428,26654,2113,142,170,347,24,15,62,23781,26654,1555,1467,1783,1882,1983,1603,1408,1276,1692,1877,2122,1970,1928,1737,1410,961,37,18286,0.254,0.315,0.274,0.112,0,0.045,5910,0.068,12638,0.047,7261,435500,7167,
Westhaven-Moonstone CDP,16000US0684385,California,Humboldt,20963594,1110,137.1,64333,458,74,131,43,63,76,59,12,1110,978,0,20,11,0,0,12,89,1110,78,43,41,61,103,95,71,82,68,39,46,102,78,42,89,72,43.2,807,0.007,0.164,0.314,0.312,1,0.203,309,0.023,505,0.048,608,387800,458,
Westlake Village city,16000US0684438,California,Los Angeles,13428409,8358,1612,140850,3285,180,276,368,251,673,444,1093,8358,6697,101,6,593,0,0,184,777,8358,409,446,249,333,610,651,869,848,363,495,245,326,473,658,696,687,52,6363,0.023,0.112,0.192,0.378,1,0.295,2403,0.016,3874,0.025,3422,953700,3285,
Westley CDP,16000US0684480,California,Stanislaus,935222,968,2680.8,39073,233,24,136,0,49,24,0,0,968,0,0,0,0,0,0,0,968,968,108,150,65,55,46,103,0,23,31,81,96,0,106,80,0,24,27.6,503,0.559,0.209,0.233,0,0,0,233,0.103,503,0.322,256,-1,233,
Westminster city,16000US0684550,California,Orange,26001424,91137,9078.1,62625,27617,6073,5274,4182,3131,4102,2461,2394,91137,21578,1121,209,43875,256,45,2080,21973,91137,4740,5682,5474,5996,6553,6433,5367,6450,4744,5340,6242,5264,6649,6520,4670,5013,41.8,65292,0.222,0.218,0.289,0.196,0,0.074,21447,0.134,45032,0.053,28477,603700,27617,
Westmont CDP,16000US0684592,California,Los Angeles,4785352,35266,19087.1,38600,10763,3788,2772,1667,1037,1081,273,145,35266,434,14166,30,82,0,83,320,20151,35266,2717,2736,2694,2856,2615,2223,1655,1523,3154,2755,2302,2301,2039,1747,1168,781,32.1,21241,0.33,0.289,0.289,0.064,0,0.028,7651,0.237,15086,0.083,11476,419900,10763,
Westmorland city,16000US0684606,California,Imperial,1528294,2432,4121.5,29730,630,267,123,135,37,68,0,0,2432,263,61,35,10,0,0,53,2010,2432,276,192,206,116,103,125,135,53,277,201,221,88,138,74,121,106,27,1315,0.357,0.256,0.325,0.055,0,0.008,444,0.27,880,0.144,755,119300,630,
Westside CDP,16000US0684863,California,Fresno,5740778,80,36.1,28250,27,12,9,6,0,0,0,0,80,0,0,11,0,0,0,0,69,80,0,9,6,0,18,0,4,0,8,6,15,0,0,7,7,0,27,51,0.51,0.255,0.235,0,0,0,22,0.318,29,0.621,31,-1,27,
Westwood CDP,16000US0684928,California,Lassen,14078966,1645,302.6,41636,838,278,238,127,113,82,0,0,1645,1426,66,29,0,0,0,32,92,1645,83,44,97,37,84,229,161,161,61,37,79,73,82,150,139,128,55.6,1297,0.089,0.273,0.458,0.131,0,0.049,526,0.114,649,0.025,1207,118000,838,
Wheatland city,16000US0685012,California,Yuba,21035374,3810,469.1,75066,1407,58,296,348,249,271,92,93,3810,2797,6,36,71,50,0,233,617,3810,174,295,236,217,325,259,178,185,193,175,345,193,243,389,179,224,41.6,2692,0.145,0.25,0.421,0.117,0,0.067,1095,0.009,1954,0.079,1445,264300,1407,
Whitehawk CDP,16000US0685086,California,Plumas,6693778,49,19,-1,23,5,0,10,0,0,8,0,49,49,0,0,0,0,0,0,0,49,0,0,0,0,0,0,19,10,0,0,0,0,0,0,9,11,67.4,49,0.224,0,0.388,0.224,0,0.163,23,0,8,0,172,436100,23,
Whitewater CDP,16000US0685208,California,Riverside,25581193,890,90.1,39653,284,75,101,36,33,18,0,21,890,379,79,0,49,0,0,23,360,890,28,40,19,63,71,88,43,24,68,108,57,96,55,39,68,23,36.1,614,0.248,0.195,0.314,0.068,0,0.174,180,0.239,341,0.079,357,192400,284,
Whitley Gardens CDP,16000US0685222,California,San Luis Obispo,3536346,224,164.1,-1,58,0,0,0,31,0,27,0,224,210,0,0,0,0,14,0,0,224,18,42,45,0,19,27,13,0,0,0,0,0,18,28,14,0,46.2,119,0.151,0.235,0.454,0.16,0,0,58,0,193,0,58,-1,58,
Whittier city,16000US0685292,California,Los Angeles,37940335,86090,5876.9,77270,27419,4202,5055,4161,3523,5550,2824,2104,86090,20835,901,274,4097,22,1085,920,57956,86090,5347,5609,6586,5927,5389,5888,4587,4497,5151,5939,6687,5649,5591,5632,4037,3574,37,57664,0.126,0.273,0.337,0.163,0,0.101,19695,0.068,43406,0.04,28431,574400,27419,
Wildomar city,16000US0685446,California,Riverside,61350815,36445,1538.6,74991,10179,1256,1864,1970,1510,2237,580,762,36445,16566,1387,261,2005,87,184,859,15096,36445,2662,2628,2477,2603,2372,2074,2180,1560,2827,2602,2630,2271,2455,1972,1696,1436,34.1,23402,0.146,0.295,0.393,0.113,0,0.053,8167,0.101,17085,0.077,10631,356700,10179,
Wilkerson CDP,16000US0685551,California,Inyo,14833037,519,90.6,77778,180,10,37,21,63,12,37,0,519,403,0,1,13,0,0,0,102,519,10,22,18,11,18,56,41,33,57,69,18,27,19,26,58,36,49.4,349,0.092,0.309,0.367,0.175,0,0.057,147,0.082,272,0.07,198,300000,180,
Williams city,16000US0685586,California,Colusa,12806225,5228,1057.3,65580,1491,263,364,251,272,255,66,20,5228,814,9,9,133,20,0,10,4233,5228,514,467,393,320,349,246,146,227,426,419,361,426,352,201,248,133,30.3,3094,0.366,0.309,0.217,0.084,0,0.024,1189,0.094,2508,0.029,1578,229500,1491,
Willits city,16000US0685600,California,Mendocino,7296371,4893,1736.9,35204,1875,815,386,186,247,152,43,46,4893,3539,64,47,13,0,0,285,945,4893,215,374,300,349,147,493,361,395,413,359,266,309,265,160,290,197,38,3307,0.128,0.248,0.429,0.127,0,0.068,1100,0.244,1963,0.079,1917,251700,1875,
Willow Creek CDP,16000US0685642,California,Humboldt,78501415,1513,49.9,65433,601,174,96,81,132,118,0,0,1513,1241,0,62,0,0,0,88,122,1513,110,37,158,101,0,139,69,138,185,44,69,123,55,72,139,74,37.3,1066,0.042,0.331,0.387,0.188,0,0.052,356,0.073,578,0,1013,300000,601,
Willowbrook CDP,16000US0685614,California,Los Angeles,4005694,22811,14749.1,43781,5123,1487,1256,963,573,623,197,24,22811,224,3837,222,279,0,0,22,18227,22811,2065,1869,1942,1851,1225,984,807,445,2522,1589,2103,2124,1250,930,692,413,27.5,12582,0.448,0.3,0.182,0.058,0,0.013,4204,0.215,10181,0.108,5258,340200,5123,
Willows city,16000US0685684,California,Glenn,7344419,6013,2120.5,43220,2312,731,528,429,248,338,24,14,6013,2961,111,56,598,0,0,294,1993,6013,382,236,297,415,242,330,511,449,662,411,258,570,297,379,326,248,38.5,4130,0.212,0.258,0.389,0.106,0,0.036,1425,0.18,2312,0.075,2428,220600,2312,
Wilsonia CDP,16000US0685866,California,Tulare,705824,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,322,-1,0,
Wilton CDP,16000US0685880,California,Sacramento,75115872,5665,195.3,106813,2007,298,185,223,201,367,399,334,5665,3690,54,14,482,0,0,61,1364,5665,228,384,232,302,386,508,506,348,315,362,223,264,405,423,404,375,46.4,4103,0.061,0.243,0.394,0.191,0,0.111,1543,0.057,2405,0.048,2097,604700,2007,
Winchester CDP,16000US0685894,California,Riverside,20739659,3322,414.9,56591,778,118,257,181,112,70,29,11,3322,1350,9,0,32,0,24,54,1853,3322,171,239,184,170,80,240,138,176,213,340,271,198,106,350,151,295,36.5,2053,0.436,0.272,0.247,0.032,0,0.012,617,0.172,1234,0.11,851,315500,778,
Windsor town,16000US0685922,California,Sonoma,18828143,27447,3775.6,106899,9156,723,1191,1229,1176,2162,1419,1256,27447,15695,204,309,705,147,157,923,9307,27447,1721,2041,1269,1516,2115,1740,1651,1564,1631,2271,1600,1667,2088,1763,1489,1321,40,18467,0.121,0.199,0.372,0.204,0,0.105,7019,0.022,15156,0.041,9488,597500,9156,
Winter Gardens CDP,16000US0685992,California,San Diego,11447558,23545,5327,69063,7851,1181,1513,1501,1338,1203,492,623,23545,15939,412,212,644,175,43,903,5217,23545,1060,1079,1432,1678,1744,1222,1648,1412,1646,1581,1835,1850,1389,1307,1626,1036,38.5,16910,0.097,0.354,0.369,0.139,0,0.042,5675,0.062,12499,0.058,8077,414000,7851,
Winterhaven CDP,16000US0686020,California,Imperial,630958,192,788.1,8949,129,129,0,0,0,0,0,0,192,54,0,7,0,0,0,14,117,192,0,0,0,0,0,21,22,65,0,0,0,0,14,13,12,45,72.6,192,0.573,0.427,0,0,0,0,52,0.481,26,0.538,215,-1,129,
Winters city,16000US0686034,California,Yolo,7601169,7197,2452.3,87050,2319,173,312,300,502,584,271,177,7197,3209,26,3,2,0,0,80,3877,7197,464,509,353,603,252,747,329,177,722,397,601,504,374,440,557,168,36.1,4527,0.202,0.202,0.384,0.103,0,0.109,1588,0.065,3870,0.064,2381,398800,2319,
Winton CDP,16000US0686076,California,Merced,7875861,11288,3712.1,45858,3196,698,1051,663,350,339,88,7,11288,2099,52,0,315,162,0,89,8571,11288,818,1039,738,582,622,539,479,270,1236,1009,850,956,601,576,512,461,29.8,6425,0.461,0.28,0.207,0.049,0,0.003,2561,0.154,5112,0.172,3305,171900,3196,
Wofford Heights CDP,16000US0686174,California,Kern,16577598,2336,365,29718,1148,469,261,249,126,0,25,18,2336,2012,0,0,0,0,0,16,308,2336,91,193,0,86,220,223,253,292,29,56,283,52,56,47,196,259,56.7,1742,0.127,0.402,0.326,0.075,0,0.069,601,0.263,646,0.146,2006,107500,1148,
Woodacre CDP,16000US0686216,California,Marin,4653151,1171,651.8,57112,615,94,189,44,44,111,12,121,1171,1115,0,22,0,10,0,0,24,1171,45,6,8,0,58,31,217,172,43,34,0,36,86,91,157,187,64.1,1043,0.056,0.13,0.257,0.328,1,0.229,279,0.082,513,0.06,645,933500,615,
Woodbridge CDP,16000US0686230,California,San Joaquin,7815396,3582,1187.1,93304,1424,221,132,204,244,264,124,235,3582,2397,135,62,156,0,8,127,697,3582,171,124,170,102,218,284,400,262,172,240,181,137,177,295,470,179,52.1,2719,0.145,0.218,0.312,0.184,0,0.141,1070,0.035,1798,0.028,1470,402200,1424,
Woodcrest CDP,16000US0686244,California,Riverside,29467958,17859,1569.7,102625,4808,291,543,761,756,999,635,823,17859,8044,1206,25,650,33,18,233,7650,17859,822,1234,1139,960,1123,1345,1025,871,1251,1201,1411,1376,1032,1264,875,930,37.6,12200,0.1,0.241,0.394,0.151,0,0.114,4157,0.039,8841,0.036,5079,487100,4808,
